day,counts.italy,counts.covid,counts.trump,counts.annexation,counts.edward snowden,counts.nasa,counts.kelly,counts.gta,counts.nord stream,counts.queen,counts.sweden,counts.mobilization,counts.germany,counts.florence pugh,counts.dont worry darling,counts.biden,counts.harry styles,counts.elon musk,counts.russia,counts.liz truss,counts.palestine,counts.eurobasket,counts.iran,counts.luhansk,counts.ukraine,counts.charles,counts.putin,counts.afghanistan,counts.donetsk,counts.hurricane ian
2022-09-01,2463,16016,21805,68,36,2248,1351,3872,20,13861,1443,78,8293,71,1.0,6770,143,604,24665,128,415,62,3672,11,7300,1788,5102,1383,52,0.0
2022-09-02,2303,14341,28535,50,21,2166,1269,3638,153,13517,1335,80,6755,117,0.0,16776,229,599,22438,100,436,77,3480,14,6905,1645,4562,1238,69,0.0
2022-09-03,1955,11553,20190,50,16,2610,1233,3349,90,12345,1392,58,6210,52,2.0,10605,187,599,19079,123,608,60,2622,15,6334,1787,3971,982,54,0.0
2022-09-04,2369,13081,17743,57,17,2889,1408,4064,41,13688,1619,53,6852,60,1.0,7842,149,598,22066,258,658,84,3171,9,6891,2620,4377,1038,77,0.0
2022-09-05,2579,12817,18120,60,15,2371,4821,3633,109,14135,1558,77,6962,153,0.0,6562,291,642,20686,1003,637,76,3959,25,6522,1685,3896,899,61,0.0
2022-09-06,2615,13799,19550,67,20,2446,1531,3746,66,14218,1713,66,8112,194,6.0,7586,553,909,22499,682,525,102,3388,26,7750,1678,4311,1083,115,0.0
2022-09-07,2588,18077,20496,64,24,2362,1724,3773,56,14500,1871,91,7179,179,5.0,6331,362,880,24345,566,447,115,3818,59,7921,1672,5233,1419,111,0.0
2022-09-08,2421,14041,16720,81,20,2207,1334,3214,37,68594,1755,81,5998,192,7.0,5543,274,789,22954,1587,633,91,3376,49,8766,12626,5096,1592,100,0.0
2022-09-09,2144,13669,17019,90,19,2068,1387,3213,22,73518,1496,163,5985,127,2.0,5102,221,594,24683,697,540,126,3204,53,9901,10874,4930,1180,125,0.0
2022-09-10,2233,12200,12112,71,18,2052,1473,3310,16,37772,1400,194,5870,148,0.0,4238,224,650,29085,236,490,96,3295,238,13217,6395,5448,1080,837,0.0
