,day,count,counts.palestine,counts.iran,counts.eurobasket,counts.the queen,counts.ukraine,counts.luhansk,counts.charles,counts.putin,counts.afghanistan,counts.donetsk,counts.elon musk,counts.russia,counts.liz truss,counts.nord stream,counts.sweden,counts.mobilization,counts.florence pugh,counts.dont worry darling,counts.germany,counts.biden,counts.harry styles,counts.italy,counts.trump,counts.covid,counts.annexation,counts.edward snowden,counts.nasa,counts.kelly,counts.gta,counts.hurricane ian
0,2022-09-01,7765487,418,3678,62,1392,7302,11,1807,5103,1384,52,604,24670,128,20,1445,79,71,1.0,8296,6776,143,2466,21816,16026,68,36,2253,1351,3873,0.0
1,2022-09-02,7621634,437,3487,77,1446,6907,14,1655,4564,1239,69,599,22442,101,153,1336,80,117,0.0,6757,16778,230,2307,28548,14350,50,21,2167,1271,3641,0.0
2,2022-09-03,6763626,608,2625,60,1302,6335,15,1807,3971,982,54,599,19083,124,90,1395,58,52,2.0,6212,10607,187,1962,20193,11559,50,16,2614,1235,3353,0.0
3,2022-09-04,7284177,658,3175,84,1358,6892,9,2636,4378,1038,77,598,22073,258,41,1620,53,60,1.0,6856,7843,150,2373,17751,13086,57,17,2891,1409,4065,0.0
4,2022-09-05,7315402,637,3964,76,1516,6525,25,1705,3899,899,61,643,20693,1006,109,1558,77,153,0.0,6969,6563,293,2583,18133,12826,60,15,2372,4824,3635,0.0
5,2022-09-06,7623831,525,3389,102,1566,7751,26,1696,4316,1083,115,909,22506,691,66,1715,66,194,6.0,8113,7588,553,2616,19575,13811,67,20,2446,1533,3748,0.0
6,2022-09-07,7883333,448,3822,115,1551,7921,59,1695,5236,1419,111,880,24350,566,56,1875,91,180,5.0,7188,6333,362,2588,20512,18093,64,24,2363,1727,3774,0.0
7,2022-09-08,7737344,633,3384,91,36364,8785,49,13498,5107,1594,100,794,22981,1636,37,1765,81,193,7.0,6006,5580,275,2424,16768,14072,81,20,2210,1339,3221,0.0
8,2022-09-09,7642507,545,3207,126,40220,9921,53,11714,4957,1183,125,594,24705,718,23,1503,163,127,2.0,6005,5128,222,2149,17107,13701,94,19,2068,1392,3221,0.0
9,2022-09-10,7243013,491,3302,96,17788,13228,238,6939,5459,1083,837,652,29105,245,16,1407,194,148,0.0,5887,4252,225,2237,12151,12219,71,18,2055,1475,3313,0.0
10,2022-09-11,7682911,524,3358,102,14047,12546,139,6468,5945,1625,316,952,27715,188,18,1707,169,121,0.0,5890,4070,264,2979,13312,12404,78,15,2112,1410,3315,0.0
11,2022-09-12,6701142,487,3021,43,8346,11428,138,4169,5980,1405,194,686,28457,110,21,2317,248,123,3.0,5634,4195,315,2068,14705,14626,66,17,2183,1363,2969,0.0
12,2022-09-13,7820399,595,3781,107,7825,11934,86,4395,6194,1647,172,733,30334,137,22,1990,255,129,4.0,7169,5120,427,2360,15536,14612,88,16,2301,1329,3732,0.0
13,2022-09-14,7802754,503,3528,123,7147,11172,58,4635,6608,1202,143,694,30124,101,18,1854,244,119,2.0,6948,5279,204,2954,14693,14918,97,22,2258,1400,3596,0.0
14,2022-09-15,7687538,568,3818,54,5916,10001,51,3625,6378,1106,86,830,28520,121,23,2125,158,133,0.0,7609,6086,128,2372,14017,13902,86,18,2454,1443,3446,0.0
15,2022-09-16,7628870,592,3843,69,5247,10028,78,3887,5686,1076,73,740,25167,83,19,1821,166,116,2.0,6949,6522,177,2295,15210,14131,69,30,2186,1407,3497,0.0
16,2022-09-17,7236131,438,3741,32,4958,8633,32,3295,5341,944,97,634,22846,93,46,1555,144,97,1.0,6147,5499,191,2257,11783,12264,72,7,1976,1503,3413,0.0
17,2022-09-18,7785097,496,3583,92,5346,8376,59,3082,4481,935,98,570,21599,89,15,1587,79,124,2.0,6394,4379,139,2351,11333,12398,56,10,2443,1878,11538,0.0
18,2022-09-19,7573263,454,3834,57,8877,8620,75,3918,4512,986,209,591,22649,141,21,1545,111,157,2.0,6619,7177,139,2355,13561,18003,103,12,2186,1225,11339,0.0
19,2022-09-20,7563461,405,5386,18,5552,10472,143,3205,7942,1085,169,568,30284,232,24,1774,1140,118,4.0,7138,6647,199,2373,16898,15328,216,14,2024,1334,6254,0.0
20,2022-09-21,7873849,523,9795,10,3546,15182,88,2485,15368,1363,144,733,48403,194,13,1798,2583,149,4.0,6498,6757,219,2343,17626,15462,185,23,2506,1348,6086,0.0
21,2022-09-22,7716073,485,10744,16,2789,12265,47,2523,11106,1343,145,728,38810,180,18,1664,1114,141,1.0,6605,5927,262,2452,23271,14133,160,32,2151,1415,4961,0.0
22,2022-09-23,6854161,468,12664,9,2229,11639,50,1974,9077,1255,134,551,35590,242,11,1450,811,204,5.0,6132,4983,212,2781,14526,13525,160,29,1756,1116,4113,9.0
23,2022-09-24,6906173,879,9663,15,2131,10315,50,1952,7359,1376,78,608,29081,175,6,1509,614,169,2.0,5190,5266,248,2647,13123,12175,132,6,1870,1113,4270,31.0
24,2022-09-25,7328032,514,9531,8,2132,10548,51,2242,7819,1112,100,660,29406,210,17,1740,502,149,6.0,5980,4821,225,3650,13191,11854,165,28,2080,1188,4240,65.0
25,2022-09-26,7559516,530,7959,23,3186,11068,61,2442,9212,1088,102,572,35195,385,81,1617,728,130,7.0,7324,4813,168,6388,12873,14146,128,186,2552,1220,4705,206.0
26,2022-09-27,7648878,490,6730,33,2374,12662,110,2463,10456,1199,143,561,44222,288,849,1818,560,134,3.0,8241,6121,268,5241,12276,14063,193,123,3485,1172,4169,449.0
27,2022-09-28,7583449,491,5190,26,2184,12872,120,2303,10199,1256,238,580,45312,388,912,1734,488,118,5.0,7894,7675,307,4026,13777,13831,241,97,2430,1154,3698,854.0
28,2022-09-29,7570416,558,4934,18,2291,12550,100,2286,9630,1068,169,755,39188,679,544,1885,479,120,8.0,7045,7352,234,3488,13509,15118,484,50,2533,1233,4143,929.0
29,2022-09-30,7373763,528,4387,12,1963,15472,125,2459,12923,993,268,805,40419,463,347,1636,415,140,2.0,6683,5896,156,2723,12914,13647,821,34,2030,1216,3793,869.0
